X Len:  3745
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 0
total_loss_d2:  tensor(2.3313, device='cuda:0', grad_fn=<DivBackward0>)
(1.1654397558299299, 'accuracy: ', tensor(1., device='cuda:0'), 'precision: ', 1.0, 'Recall: ', 1.0)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 21
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1658, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3313, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 22
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1658, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3312, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 23
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1657, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3312, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 24
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1657, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3312, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 25
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1657, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3312, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 26
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1657, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 27
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1657, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 28
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1657, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 29
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 30
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
(1.1655788367022746, 'accuracy: ', tensor(0.9998, device='cuda:0'), 'precision: ', 0.9988169180715765, 'Recall: ', 0.9989648033126294)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 31
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 32
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 33
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 34
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 35
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 36
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 37
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3311, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 38
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 39
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 40
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
(1.1663491212782238, 'accuracy: ', tensor(0.9991, device='cuda:0'), 'precision: ', 0.9944368288886875, 'Recall: ', 0.9956866804692892)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 41
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 42
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1656, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 43
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 44
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 45
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 46
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 47
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 48
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 49
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 50
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
(1.1675638431567112, 'accuracy: ', tensor(0.9978, device='cuda:0'), 'precision: ', 0.9883078482255453, 'Recall: ', 0.9903381642512077)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 51
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 52
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 53
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 54
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 55
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 56
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 57
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 58
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 59
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 60
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
(1.1716127534692649, 'accuracy: ', tensor(0.9939, device='cuda:0'), 'precision: ', 0.9721493269075077, 'Recall: ', 0.9754008069225462)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 61
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 62
total_loss_g:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_g2:  tensor(1.1655, device='cuda:0', grad_fn=<DivBackward0>)
total_loss_d2:  tensor(2.3310, device='cuda:0', grad_fn=<DivBackward0>)
LOSS:  tensor(0.0009, device='cuda:0', grad_fn=<DivBackward0>) 63
